year,state,tax_rate
2016,Alabama,5.0
2016,Alaska,0.0
2016,Arizona,4.54
2016,Arkansas,6.9
2016,California,13.3
2016,Colorado,4.63
2016,Connecticut,6.99
2016,Delaware,6.6
2016,District of Columbia,8.95
2016,Florida,0.0
2016,Georgia,6.0
2016,Hawaii,8.25
2016,Idaho,7.4
2016,Illinois,3.75
2016,Indiana,3.3
2016,Iowa,8.98
2016,Kansas,4.6
2016,Kentucky,6.0
2016,Louisiana,6.0
2016,Maine,7.15
2016,Maryland,5.75
2016,Massachusetts,5.1
2016,Michigan,4.25
2016,Minnesota,9.85
2016,Mississippi,5.0
2016,Missouri,6.0
2016,Montana,6.9
2016,Nebraska,6.84
2016,Nevada,0.0
2016,New Hampshire,0.0
2016,New Jersey,8.97
2016,New Mexico,4.9
2016,New York,8.82
2016,North Carolina,5.75
2016,North Dakota,2.9
2016,Ohio,4.997
2016,Oklahoma,5.0
2016,Oregon,9.9
2016,Pennsylvania,3.07
2016,Rhode Island,5.99
2016,South Carolina,7.0
2016,South Dakota,0.0
2016,Tennessee,0.0
2016,Texas,0.0
2016,Utah,5.0
2016,Vermont,8.95
2016,Virginia,5.75
2016,Washington,0.0
2016,West Virginia,6.5
2016,Wisconsin,7.65
2016,Wyoming,0.0
2017,Alabama,5.0
2017,Alaska,0.0
2017,Arizona,4.54
2017,Arkansas,6.9
2017,California,13.3
2017,Colorado,4.63
2017,Connecticut,6.99
2017,Delaware,6.6
2017,District of Columbia,8.95
2017,Florida,0.0
2017,Georgia,6.0
2017,Hawaii,8.25
2017,Idaho,7.4
2017,Illinois,3.75
2017,Indiana,3.23
2017,Iowa,8.98
2017,Kansas,4.6
2017,Kentucky,6.0
2017,Louisiana,6.0
2017,Maine,7.15
2017,Maryland,5.75
2017,Massachusetts,5.1
2017,Michigan,4.25
2017,Minnesota,9.85
2017,Mississippi,5.0
2017,Missouri,6.0
2017,Montana,6.9
2017,Nebraska,6.84
2017,Nevada,0.0
2017,New Hampshire,0.0
2017,New Jersey,8.97
2017,New Mexico,4.9
2017,New York,8.82
2017,North Carolina,5.499
2017,North Dakota,2.9
2017,Ohio,4.997
2017,Oklahoma,5.0
2017,Oregon,9.9
2017,Pennsylvania,3.07
2017,Rhode Island,5.99
2017,South Carolina,7.0
2017,South Dakota,0.0
2017,Tennessee,0.0
