year,state_name,population,violent_crime,property_crime,crime_rate
2016,Alaska,741522,5966,24876,3.3547217749439664
2016,Alabama,4860545,25878,143259,2.947385529811986
2016,Arkansas,2988231,16563,98092,3.2826110163504763
2016,Arizona,6908642,32542,207317,3.000835764829036
2016,California,39296476,174796,1002070,2.550025096397957
2016,Colorado,5530105,19030,152146,2.751231667391487
2016,Connecticut,3587685,8169,64875,1.8082691206167765
2016,District of Columbia,684336,8236,32377,4.73115545579949
2016,Delaware,952698,4859,26370,2.7679285565835134
2016,Florida,20656589,88700,553812,2.6810428381955993
2016,Georgia,10313620,40268,307305,2.979603669710538
2016,Hawaii,1428683,3452,42353,2.9644784742311625
2016,Iowa,3130869,9170,65888,2.104463648910255
2016,Idaho,1680026,3876,29357,1.747413432887348
2016,Illinois,12835726,56054,263256,2.050963069794416
2016,Indiana,6634007,26516,168460,2.539340100183795
2016,Kansas,2907731,11665,82293,2.83014487928904
2016,Kentucky,4436113,10452,97713,2.2026715730640767
2016,Louisiana,4686157,26477,154511,3.297179330526058
2016,Massachusetts,6823721,25975,106430,1.5597062072145096
2016,Maryland,6024752,29019,139716,2.3190332149771478
2016,Maine,1330232,1649,21908,1.6469307609499697
2016,Michigan,9933445,45782,190249,1.9152368589145055
2016,Minnesota,5525050,13365,117723,2.1307137491968398
2016,Missouri,6091176,31720,170661,2.801774238669183
2016,Mississippi,2985415,8411,82521,2.764138319128161
2016,Montana,1038656,3886,28156,2.7108108940785014
2016,North Carolina,10156689,37767,277765,2.734798712454423
2016,North Dakota,755548,1905,17451,2.3097142736133245
2016,Nebraska,1907603,5661,43197,2.2644648807954275
2016,New Hampshire,1335015,2668,20323,1.5223049928277959
2016,New Jersey,8978416,21861,138012,1.5371531013933861
2016,New Mexico,2085432,14585,81930,3.9286824024950224
2016,Nevada,2939254,19924,75922,2.583036375896741
2016,New York,19836286,74315,305224,1.538715463166845
2016,Ohio,11622554,35759,300945,2.589319008541496
2016,Oklahoma,3921207,17855,118010,3.0095325240417043
2016,Oregon,4085989,10983,121716,2.978862645004673
2016,Pennsylvania,12787085,40389,222394,1.7392079586551588
2016,Rhode Island,1057566,2529,18910,1.7880680732928251
2016,South Carolina,4959822,25137,161534,3.2568507498857824
2016,South Dakota,861542,3636,17207,1.9972328685078615
2016,Tennessee,6649404,42459,191199,2.8754306400994736
2016,Texas,27904862,121064,769892,2.7589887382349354
2016,Utah,3044321,7406,90561,2.9747520054554037
2016,Virginia,8414380,18495,157292,1.8693237053710434
2016,Vermont,623354,851,9705,1.556900252504997
2016,Washington,7280934,22101,254994,3.502215512460352
2016,Wisconsin,5772917,17716,111911,1.9385520353055483
2016,West Virginia,1828637,6633,37282,2.0387862653987643
2016,Wyoming,584910,1431,11460,1.9592757860183618
2017,Alaska,739786,6338,26203,3.5419702454493596
2017,Alabama,4875120,25469,143774,2.9491376622524164
2017,Arkansas,3002997,16996,94419,3.1441589851738114
2017,Arizona,7048876,35647,204999,2.9082509041157767
2017,California,39399349,178597,987063,2.5052774349139626
2017,Colorado,5615902,20901,152032,2.70716974762024
2017,Connecticut,3573880,8190,63646,1.7808656138426584
2017,District of Columbia,695691,6976,29736,4.274311439992755
2017,Delaware,957078,4377,23430,2.4480763323365493
2017,Florida,20976812,85606,527125,2.5128937609775974
2017,Georgia,10413055,37118,297651,2.8584406785520677
2017,Hawaii,1424203,3577,40392,2.8361125485622485
2017,Iowa,3143637,9038,65652,2.0884090624967198
2017,Idaho,1718904,4111,28557,1.661349324918669
2017,Illinois,12786196,55777,255108,1.99518293009117
2017,Indiana,6660082,26307,158932,2.386336985040124
2017,Kansas,2910689,11654,79387,2.727429828470166
2017,Kentucky,4453874,10292,95899,2.153159249677921
2017,Louisiana,4670818,25986,157272,3.3671189928616356
2017,Massachusetts,6863246,24318,97977,1.4275606615295444
2017,Maryland,6024891,30321,134705,2.235808083498938
2017,Maine,1335063,1610,20142,1.5086928482026691
2017,Michigan,9976447,44883,179839,1.8026357479772108
2017,Minnesota,5568155,13345,122430,2.1987534470574186
2017,Missouri,6108612,32450,173380,2.838287977694442
2017,Mississippi,2989663,7661,82764,2.7683387726308952
2017,Montana,1053090,3937,27294,2.591801270546677
2017,North Carolina,10270800,38043,265483,2.5848327296802585
2017,North Dakota,755176,2133,16653,2.2051813087280316
2017,Nebraska,1917575,5979,43856,2.28705526511349
2017,New Hampshire,1349767,2642,18550,1.374311270019196
2017,New Jersey,8888543,20604,140086,1.5760288272217393
2017,New Mexico,2093395,16300,81865,3.9106332058689355
2017,Nevada,2972405,16663,78320,2.634903386315122
2017,New York,19590719,70746,293390,1.4975968977963494
2017,Ohio,11664129,34621,280557,2.405297472275898
2017,Oklahoma,3932640,17989,113611,2.888924488384393
2017,Oregon,4146592,11629,122524,2.954812048062602
2017,Pennsylvania,12790447,40030,210316,1.644320952973731
